item,Phon,LDTrt,LDTpe,NMGrt,PDMrt,FLPrt,freqfilms,freqbooks,Nlett,Nphon,OLD20,PLD20,AoA,Freqsubj,IMA
mois,mwa,570.6,0.09,449.3,1207.0,608.7,312.31,304.86,4,3,1,1,5.8,5.6,2.8
moite,mwat,745.4,0.46,471.7,1386.2,754.4,1.01,10,5,4,1.45,1.45,9.6,4.6,4.1
mon,m§,712.9,0.13,467.7,1196.7,749.9,3849.01,2307.97,3,2,1,1,4.6,5.3,1.4
monde,m§d,613.4,0.06,446.7,1261.9,604.6,823.62,732.43,5,3,1.2,1.1,6.3,6.0,5.1
monstre,m§stR,622.1,0.03,497.1,1170.8,639.4,52.37,21.29,7,5,2,1.9,4.7,4.5,6.0
mont,m§,645.6,0.09,462.4,1250.4,710.7,9.04,12.36,4,2,1.1,1,8.4,3.4,4.5
montre,m§tR,640.1,0.13,480.5,1307.6,649.1,129.35,80.61,6,4,1.45,1.1,5.3,4.4,6.4
mordre,mORdR,677.5,0.13,483.6,1306.1,629.8,8.83,12.36,6,5,1.6,1.25,5.2,4.9,4.8
morgue,mORg,774.8,0.55,515.6,1295.7,715.0,9.95,6.76,6,4,1.8,1.5,11.1,3.8,5.2
morse,mORs,691.1,0.30,479.4,1270.7,746.5,3.5,0.88,5,4,1.35,1.2,9.8,2.9,4.3
mort,mOR,572.4,0.03,452.6,1184.2,632.4,745.1,508.92,4,3,1.25,1,6.6,3.6,5.2
mot,mo,550.8,0.03,452.3,1141.2,575.9,174.83,260.47,3,2,1,1,4.8,5.5,4.8
motte,mOt,736.3,0.40,464.9,1348.5,736.4,0.26,2.97,5,3,1.45,1,9.1,4.8,5.2
mou,mu,642.7,0.06,439.4,1169.5,656.4,7.9,21.68,3,2,1.1,1,6.1,3.5,3.9
mouche,muS,608.5,0.03,435.7,1255.2,630.7,16.26,19.8,6,3,1.25,1,4.9,4.4,6.7
moudre,mudR,760.5,0.17,500.2,1484.2,824.0,0.72,1.22,6,4,1.75,1.7,9.6,3.8,3.7
moue,mu,740.6,0.21,434.2,1335.3,715.3,0.76,17.43,4,2,1,1,9.4,3.4,3.5
mouette,mwEt,704.0,0.06,485.2,1182.7,690.6,1.43,5.47,7,4,1.65,1.55,6.5,2.8,6.6
moufle,mufl,764.3,0.46,472.7,1382.5,NA,0.28,0.34,6,4,1.7,1.7,6.3,3.1,6.4
moule,mul,667.3,0.06,461.3,1308.8,666.3,3.86,4.67,5,3,1,1,7.3,3.0,6.7
mousse,mus,593.7,0.06,458.7,1256.3,593.5,7.26,26.01,6,3,1.35,1,5.8,3.6,6.3
mue,my,782.8,0.13,427.9,1244.2,631.6,0.42,3.04,3,2,1,1,10.5,2.9,2.8
muer,m8e,776.0,0.17,491.5,1259.5,NA,0.65,0.95,4,3,1.25,1.35,10.2,3.4,3.2
muet,m8E,584.8,0.00,439.0,1227.2,614.9,11.36,18.85,4,3,1.5,1.35,7.8,3.8,4.3
mufle,myfl,826.5,0.52,517.0,1454.5,738.3,1.64,6.62,5,4,1.8,1.75,10.6,2.7,4.7
mule,myl,684.4,0.17,445.8,1326.1,667.0,7.29,4.26,4,3,1.05,1,8.6,3.1,6.0
mur,myR,600.6,0.03,425.4,1251.0,653.0,58.9,172.57,3,3,1.2,1,4.7,4.9,6.4
mûr,myR,627.7,0.06,436.8,1136.5,664.0,3.6,8.31,3,3,1.6,1,7.4,4.3,4.6
muscle,myskl,622.9,0.00,451.3,1216.0,606.5,3.98,4.06,6,5,1.8,1.75,7.2,4.9,6.1
muse,myz,718.0,0.31,450.6,1217.3,702.5,1.82,0.88,4,3,1.05,1,12.7,3.2,3.4
myope,mjOp,692.4,0.13,508.8,1262.1,736.6,1.9,5,5,4,1.9,1.95,9.7,3.9,4.5
mythe,mit,650.9,0.00,490.4,1296.0,628.7,5.17,5.61,5,3,1.9,1,10.7,3.0,3.4
nacre,nakR,746.4,0.09,488.3,1208.4,663.3,0.58,5.2,5,4,1.6,1.5,11.4,2.7,4.0
nage,naZ,675.8,0.17,456.4,1273.5,564.2,10.41,8.58,4,3,1.15,1,5.9,3.6,5.0
nain,n5,651.7,0.03,460.1,1254.4,698.2,10.11,8.85,4,2,1.35,1,6.9,3.4,6.3
naître,nEtR,675.7,0.10,495.0,1259.6,619.2,12.74,19.86,6,4,1.8,1.2,6.3,3.9,4.8
nappe,nap,694.0,0.09,457.7,1215.8,687.8,3.01,18.25,5,3,1.55,1,6.0,3.9,6.3
natte,nat,743.9,0.25,472.1,1331.4,758.5,0.88,4.33,5,3,1.3,1,6.1,3.5,6.2
ne,n2,744.2,0.13,450.9,1257.6,734.0,13357.03,7752.09,2,2,1,1,5.6,6.8,1.2
neige,nEZ,580.3,0.00,465.0,1031.8,581.5,43,76.42,5,3,1.8,1.35,4.5,3.4,6.7
nerf,nER,616.7,0.00,461.0,1121.6,627.8,8.09,3.92,4,3,1.75,1,9.7,4.4,4.7
net,nEt,589.5,0.06,452.9,1119.7,654.1,19.93,38.1,3,3,1.1,1,8.7,5.0,2.6
neuf,n9f,596.7,0.06,444.8,1120.0,542.1,40.64,70.13,4,3,1.65,1.55,5.6,5.1,5.2
neutre,n2tR,631.1,0.06,483.9,1271.3,611.4,4.73,10.67,6,4,1.9,1.7,10.1,4.3,2.1
nez,ne,566.1,0.00,430.1,1028.4,576.4,75.18,177.64,3,2,1.45,1,3.7,5.1,6.7
ni,ni,659.0,0.09,440.1,1323.4,726.1,377.64,662.36,2,2,1,1,6.6,6.2,1.1
niche,niS,649.8,0.00,482.1,1190.8,609.6,2.5,7.23,5,3,1.45,1,5.4,3.4,6.6
nid,ni,623.8,0.00,425.3,1156.2,631.4,11.07,14.59,3,2,1.55,1,5.5,3.5,6.7
nié,nje,774.3,0.31,457.7,1254.9,741.2,1.54,1.02,3,3,1.4,1.05,9.3,3.8,2.4
nier,nje,739.6,0.25,449.4,1247.3,686.5,7.76,10.68,4,3,1.45,1.05,9.7,4.0,2.6
noble,nObl,623.7,0.13,484.6,1189.3,641.1,26.19,22.16,5,4,1.9,1.95,10.2,3.1,2.7
noce,nOs,691.5,0.06,465.3,1148.0,646.4,4.43,6.55,4,3,1.45,1,9.7,3.0,4.9
noeud,n2,641.7,0.00,442.4,1114.5,646.0,7.64,14.46,5,2,2.05,1,6.1,4.1,6.3
noir,nwaR,550.8,0.03,466.2,1126.8,552.0,126.42,277.43,4,4,1.6,1,3.8,5.4,6.0
noix,nwa,579.0,0.00,457.3,1122.7,577.6,12.83,12.23,4,3,1.8,1,6.1,3.7,6.6
nombre,n§bR,624.5,0.09,470.5,1257.0,646.3,36.57,76.28,6,4,1.8,1.85,5.9,5.4,4.9
non,n§,603.2,0.03,454.2,1159.5,632.0,4043.8,1139.19,3,2,1,1,3.0,6.9,2.6
nord,nOR,597.3,0.03,459.7,1131.2,662.8,62.64,84.19,4,3,1.65,1,6.9,4.4,3.8
norme,nORm,665.9,0.10,470.2,1199.3,692.8,1.58,1.15,5,4,1.65,1.6,12.0,4.8,2.2
nos,no,714.6,0.40,486.6,1133.5,732.5,524.63,579.19,3,2,1.3,1,5.7,6.5,1.3
note,nOt,629.0,0.00,462.2,1201.9,603.6,38.79,48.04,4,3,1,1,6.7,5.1,4.9
notre,nOtR,623.7,0.03,460.4,1183.7,630.0,1023.03,680.68,5,4,1.65,1.4,5.6,6.5,1.7
nôtre,notR,667.1,0.13,439.2,1213.2,620.1,19.78,24.39,5,4,1.8,1.3,6.9,5.8,2.0
noué,nwe,711.8,0.26,483.3,1254.1,662.1,0.76,7.3,4,3,1.35,1.25,8.6,3.6,3.6
nouer,nwe,691.5,0.21,447.4,1207.3,662.1,1.67,6.01,5,3,1.35,1.25,8.1,3.8,3.9
noueux,nw2,837.3,0.43,517.1,1293.7,723.9,0.22,2.77,6,3,1.95,1.65,11.1,2.6,3.0
nouille,nuj,755.6,0.13,456.2,1362.0,625.9,1.18,0.61,7,3,1.4,1.3,5.4,5.1,6.6
nous,nu,591.3,0.06,432.4,1160.4,660.8,4772.12,3867.84,4,2,1.15,1,5.2,6.7,2.3
nu,ny,579.1,0.03,424.9,1228.0,695.5,21.54,63.31,2,2,1,1,5.1,5.2,5.2
nuage,n8aZ,618.8,0.00,468.4,1167.1,582.3,11.81,26.49,5,4,1.85,1.8,4.5,4.9,6.8
nuance,n8@s,682.0,0.09,494.9,1266.1,618.2,1.1,11.29,6,4,1.8,1.8,9.3,4.0,2.7
nuée,n8e,699.1,0.09,464.7,1253.0,625.6,0.54,3.99,4,3,1.45,1.35,11.3,2.7,2.6
nuit,n8i,559.3,0.03,449.4,1251.5,586.6,562.85,676.55,4,3,1.5,1.25,4.1,5.9,6.3
nul,nyl,571.4,0.09,435.4,1218.2,603.3,59.3,58.43,3,3,1.65,1.4,5.7,5.3,2.4
nuque,nyk,777.0,0.46,477.8,1244.1,687.4,7.58,48.51,5,3,1.85,1.55,7.8,3.9,6.2
nymphe,n5f,710.2,0.17,525.6,1401.2,684.4,0.88,1.76,6,3,2.45,1.65,11.8,2.6,3.3
oeil,9j,602.7,0.03,539.1,1126.0,600.1,97.13,278.51,4,2,1.95,1.45,4.1,5.2,6.4
oeuf,9f,612.9,0.00,511.4,1122.8,594.4,13.53,20.34,4,2,1.65,1.3,4.5,5.3,6.9
oeuvre,9vR,696.8,0.17,537.1,1314.1,659.9,36.44,68.99,6,3,1.75,1.65,9.8,4.1,4.4
offre,OfR,687.3,0.06,501.7,1254.1,605.8,82.04,38.58,5,3,1.85,1.7,7.9,5.1,2.5
ogre,OgR,751.9,0.17,553.0,1258.7,666.9,2.52,4.66,4,3,1.85,1.75,8.0,3.1,5.8
oie,wa,637.6,0.06,501.5,1211.6,689.7,5.47,5.27,3,2,1,1,5.6,3.2,6.5
ombre,§bR,647.1,0.00,488.8,1196.7,601.3,36.25,190.88,5,3,1.5,1.45,6.5,4.2,5.6
on,§,596.3,0.03,522.2,1210.4,675.1,8589.96,4838.38,2,1,1,1,5.1,6.9,1.6
oncle,§kl,641.0,0.03,513.2,1136.2,645.0,124.11,121.96,5,3,1.85,1.85,5.2,3.9,4.5
onde,§d,685.6,0.06,496.7,1235.6,661.9,4.39,6.01,4,2,1.25,1,11.1,3.8,3.1
ongle,§gl,649.7,0.03,510.5,1111.8,597.8,2.35,10.14,5,3,1.7,1.5,5.2,4.9,6.7
onze,§z,676.5,0.03,491.3,1155.3,622.3,13.7,41.01,4,2,1.8,1.4,5.4,4.6,4.8
or,OR,607.6,0.13,494.9,1303.3,627.2,130.51,200.07,2,2,1.3,1,7.0,4.9,5.7
ordre,ORdR,650.3,0.09,503.6,1098.3,616.2,132.5,179.26,5,4,1.75,1.7,6.7,4.6,3.2
orge,ORZ,799.0,0.52,543.3,1225.7,667.2,1.96,3.58,4,3,1.4,1.35,11.0,2.7,4.7
os,Os,607.4,0.03,494.9,1169.9,623.3,40.77,49.73,2,2,1,1,5.7,4.5,6.7
ou,u,601.1,0.00,470.6,1289.3,604.3,1584.09,2429.86,2,1,1,1,5.2,6.7,1.3
où,u,613.7,0.00,495.7,1229.2,631.9,2177.25,2068.11,2,1,1.6,1,5.7,6.7,1.7
ouest,wEst,689.4,0.06,546.1,1119.3,748.5,36.6,32.5,5,4,1.95,1.45,7.5,4.1,3.3
oui,wi,594.5,0.00,452.9,1209.7,624.4,3207.35,637.57,3,2,1.2,1,2.8,6.8,3.1
ouïe,wi,754.1,0.09,556.3,1462.6,705.6,3.21,3.79,4,2,1.75,1,8.5,3.6,3.5
pacte,pakt,672.1,0.00,526.6,1171.6,731.7,7.29,11.49,5,4,1.7,1.25,10.9,3.3,3.1
page,paZ,603.7,0.00,531.2,1055.8,672.8,25.16,55.88,4,3,1,1,5.2,5.3,6.3
paille,paj,666.4,0.06,536.4,1204.2,691.4,8.63,45.54,6,3,1.1,1,6.4,3.5,6.6
pain,p5,567.4,0.03,531.0,1091.0,558.5,62.81,99.32,4,2,1,1,4.0,6.4,6.7
pair,pER,645.3,0.06,515.3,1171.3,635.8,3.02,4.6,4,3,1.5,1,8.8,4.1,3.5
paire,pER,759.0,0.30,570.1,1182.7,697.2,19.06,27.7,5,3,1.2,1,7.0,4.8,4.6
paix,pE,586.4,0.03,538.7,1047.1,590.0,144.86,103.72,4,2,1.65,1,7.8,4.3,2.8
pale,pal,703.2,0.32,544.7,1221.4,NA,0.74,0.41,4,3,1,1,8.4,3.8,4.0
pâle,pal,647.9,0.03,545.2,1162.5,616.2,14.52,67.23,4,3,1.35,1,8.4,4.0,4.9
palme,palm,727.5,0.06,521.3,1241.0,689.7,1.25,2.91,5,4,1.5,1.15,7.9,3.0,6.2
pan,p@,687.6,0.55,529.8,1077.6,765.2,7.05,15.61,3,2,1,1,8.6,3.0,3.4
panne,pan,613.3,0.03,521.1,1151.5,594.2,23.84,10.81,5,3,1.2,1,7.0,4.3,4.5
paon,p@,681.3,0.30,606.8,1177.0,759.3,0.6,3.85,4,2,1.6,1,6.9,2.8,6.4
pape,pap,616.2,0.00,518.7,1119.9,668.5,6.57,14.59,4,3,1,1,9.2,2.9,5.6
par,paR,634.8,0.17,531.3,1119.2,737.8,1763.6,3739.25,3,3,1,1,5.7,6.5,1.3
parc,paRk,614.3,0.03,514.8,1141.4,595.8,31.02,38.72,4,4,1.3,1,5.3,4.1,6.2
part,paR,657.4,0.03,537.2,1169.9,614.5,367.07,331.22,4,3,1,1,6.3,5.3,2.8
pas,pa,632.8,0.06,521.4,1012.7,614.8,18315.21,9129.33,3,2,1,1,5.0,6.4,3.5
passe,pas,597.0,0.03,491.3,1140.1,689.3,568.45,204.06,5,3,1,1,6.0,5.9,2.3
patch,patS,710.3,0.13,557.5,1136.5,NA,0.88,0.07,5,4,1.8,1.2,12.4,3.3,5.9
pâte,pat,612.9,0.13,497.6,1123.0,563.0,7.04,18.45,4,3,1.25,1,5.7,5.1,6.5
patte,pat,640.5,0.13,524.0,1268.8,700.3,6.45,21.28,5,3,1.25,1,5.0,4.6,6.5
paume,pom,728.9,0.06,531.3,1227.7,639.1,2.53,24.33,5,3,1.45,1.05,7.7,3.6,6.1
pause,poz,554.8,0.00,516.6,1097.6,537.5,27.3,10.14,5,3,1.6,1.05,7.2,5.6,3.2
pauvre,povR,598.3,0.03,515.3,1094.6,602.7,194.66,178.17,6,4,1.9,1.95,6.7,4.6,4.3
peau,po,559.5,0.03,496.4,1076.8,559.4,83.83,174.26,4,2,1.7,1,5.1,5.2,6.2
pêche,pES,588.0,0.00,482.1,1107.0,605.5,23.58,28.99,5,3,1.45,1,5.5,3.5,6.6
peigne,pEN,671.7,0.00,528.8,1181.2,629.8,6.79,10.13,6,3,1.4,1,5.0,4.8,6.6
peindre,p5dR,699.1,0.00,561.1,1236.2,671.5,12.75,22.64,7,4,1.6,1.3,6.0,3.9,5.1
peine,pEn,603.7,0.03,518.7,1105.1,657.5,196.51,390.2,5,3,1.2,1,7.1,5.1,3.2
peint,p5,683.4,0.03,532.7,1138.4,633.8,13.55,27.7,5,2,1.4,1,6.5,4.0,3.5
peintre,p5tR,691.8,0.03,559.6,1217.7,685.6,13.6,31.22,7,4,1.8,1.4,7.1,3.6,6.0
pelle,pEl,667.1,0.06,569.1,1210.0,678.0,8.75,11.35,5,3,1.4,1,5.2,3.8,6.4
pendre,p@dR,795.6,0.19,553.8,1292.4,650.7,12.4,8.51,6,4,1.3,1,8.0,4.0,3.9
pente,p@t,698.6,0.09,573.7,1192.0,649.6,4.46,39.19,5,3,1,1,7.2,3.9,5.5
perche,pERS,744.6,0.25,502.5,1231.1,741.1,5.83,5.27,6,4,1.45,1.05,9.0,3.1,5.4
perdre,pERdR,667.0,0.03,547.2,1204.5,662.7,131.47,97.7,6,5,1.65,1.2,5.5,5.4,3.3
père,pER,641.1,0.00,545.2,1155.5,600.6,879.31,708.11,4,3,1.15,1,4.6,5.6,5.9
perle,pERl,600.8,0.00,523.3,1167.8,618.3,4.17,9.46,5,4,1.3,1.05,5.7,3.6,6.7
perte,pERt,662.7,0.10,524.0,1136.3,689.7,30.2,26.62,5,4,1.45,1.15,8.1,4.4,3.2
peste,pEst,622.4,0.25,528.2,1101.6,673.2,17.15,8.98,5,4,1,1,9.6,3.5,3.2
peu,p2,641.5,0.03,497.3,1054.3,607.3,1145.75,1586.96,3,2,1,1,6.0,6.3,2.1
peuple,p2pl,573.2,0.06,503.9,1063.3,586.2,106.58,90.74,6,4,1.7,1.7,8.5,4.1,4.6
peur,p2R,596.5,0.00,491.1,1089.7,581.2,551.83,307.23,4,3,1.4,1.5,4.8,5.0,4.0
phare,faR,661.0,0.14,489.4,1164.2,675.6,7.17,10.68,5,3,1.8,1,7.2,3.4,6.4
phase,faz,631.4,0.03,479.0,1121.5,606.6,12.42,6.76,5,3,1.8,1,13.9,4.4,2.5
phoque,fOk,725.7,0.30,466.3,1206.5,697.9,2.24,2.77,6,3,1.85,1,6.3,2.7,6.6
phrase,fRaz,660.4,0.00,490.6,1195.3,679.0,15.57,87.37,6,4,1.75,1.55,5.8,5.9,5.4
pic,pik,630.2,0.06,521.4,1063.3,676.4,4.61,10.34,3,3,1.1,1,7.5,3.7,4.8
pie,pi,744.1,0.13,511.1,1109.3,617.1,1.94,4.87,3,2,1,1,6.9,3.1,5.9
pièce,pjEs,572.2,0.03,512.1,1104.4,563.9,110.66,193.78,5,4,1.75,1.6,5.9,5.6,6.5
pied,pje,536.2,0.00,453.7,1112.8,584.1,105.51,248.18,4,3,1.65,1,3.6,5.6,6.7
piège,pjEZ,657.1,0.03,504.5,1033.2,551.9,28,20.27,5,4,1.7,1.75,7.1,4.2,5.1
pierre,pjER,619.3,0.06,490.9,1122.1,636.0,40.58,119.39,6,4,1.9,1,4.8,4.4,6.7
piètre,pjEtR,839.3,0.26,545.7,1187.0,728.7,2.47,3.45,6,5,1.85,1.8,12.5,2.9,2.3
pieuvre,pj9vR,749.1,0.17,572.1,1254.4,744.6,1.65,1.82,7,5,2.3,2,7.2,2.5,6.5
pieux,pj2,729.5,0.09,489.9,1176.3,688.4,2.91,9.8,5,3,1.4,1,11.1,2.7,3.9
pige,piZ,696.5,0.36,562.8,1161.2,687.9,6.79,4.19,4,3,1.2,1.05,10.6,3.7,1.9
pile,pil,670.4,0.03,508.2,1195.3,608.4,18.57,23.51,4,3,1,1,6.6,4.5,6.4
pin,p5,678.0,0.13,571.2,1139.8,722.5,2.79,9.53,3,2,1,1,8.1,3.0,5.7
pince,p5s,713.7,0.03,506.9,1171.3,711.2,8.03,11.22,5,3,1.3,1,6.3,3.8,6.1
pioche,pjOS,674.8,0.09,531.8,1168.9,712.1,4.32,4.73,6,4,1.6,1.75,7.4,3.1,5.9
pion,pj§,651.5,0.10,490.2,1101.2,756.1,2.98,3.58,4,3,1.35,1,7.3,3.7,5.9
pipe,pip,654.4,0.03,522.3,1073.2,672.5,12.81,26.42,4,3,1.05,1,7.2,3.8,6.7
pique,pik,660.9,0.00,506.4,1185.1,692.8,13.77,15,5,3,1.3,1,6.3,4.1,4.4
pire,piR,708.3,0.17,515.6,1171.7,632.2,130.41,71.69,4,3,1,1,7.5,5.5,2.2
piste,pist,624.0,0.06,523.2,1102.9,619.6,43.53,34.93,5,4,1.35,1,7.8,4.1,5.2
pitre,pitR,795.4,0.30,525.3,1257.9,716.5,1.55,1.69,5,4,1.55,1.1,8.1,3.6,4.1
place,plas,547.4,0.00,518.1,1078.5,587.6,293.6,453.11,5,4,1.35,1,6.1,5.4,4.6
plage,plaZ,576.9,0.09,527.5,1105.2,580.0,44.99,72.03,5,4,1.5,1.45,5.5,3.4,6.7
plaie,plE,660.6,0.03,548.0,1281.3,637.6,10.42,14.32,5,3,1.05,1,8.1,3.7,5.7
plaindre,pl5dR,702.1,0.00,561.6,1299.0,647.5,17.27,24.53,8,5,2.25,1.7,7.9,4.6,3.1
plaine,plEn,664.8,0.00,534.4,1233.9,698.0,3.93,41.28,6,4,1.3,1.25,8.0,3.9,5.4
plainte,pl5t,674.9,0.00,542.6,1349.8,618.3,23.4,23.44,7,4,1.75,1.7,9.4,4.0,3.8
plaire,plER,627.9,0.09,540.5,1249.0,603.0,19,19.66,6,4,1.3,1,8.3,4.7,3.4
plan,pl@,575.0,0.00,519.0,1096.9,605.6,122.21,69.33,4,3,1.2,1,8.1,4.8,5.1
planche,pl@S,649.2,0.00,496.7,1167.1,684.1,10.47,14.53,7,4,1.7,1.45,6.6,4.0,6.6
plane,plan,721.5,0.17,551.9,1249.4,701.8,3.62,5.07,5,4,1.2,1.35,10.0,3.5,3.8
planque,pl@k,765.3,0.10,536.8,1155.9,594.6,13.52,9.66,7,4,1.55,1.3,9.6,3.8,4.0
plant,pl@,722.5,0.50,510.9,1199.6,738.9,1.07,1.62,5,3,1.2,1,9.8,2.8,4.0
plante,pl@t,673.3,0.13,508.3,1175.4,628.6,13.73,16.49,6,4,1.2,1.2,5.9,4.6,6.5
plaque,plak,602.7,0.03,549.8,1133.2,708.5,15.82,28.98,6,4,1.4,1.05,7.8,3.9,5.4
plat,pla,598.1,0.00,507.3,1132.4,610.5,30.21,72.77,4,3,1.35,1,6.2,5.4,5.6
plâtre,platR,647.9,0.00,548.3,1189.7,656.8,5.17,14.59,6,5,1.7,1.4,8.7,3.3,5.8
plein,pl5,553.4,0.00,504.0,1154.8,605.8,204.66,222.57,5,3,1.85,1.2,5.5,5.6,3.4
pleur,pl9R,691.6,0.06,514.5,1147.0,NA,0.2,0.81,5,4,1.5,1.35,5.6,4.4,5.2
pli,pli,694.4,0.17,500.1,1182.6,773.6,4.42,16.76,3,3,1.45,1,7.7,3.9,5.1
plomb,pl§,672.6,0.03,500.2,1088.3,627.6,10.62,20.27,5,3,1.8,1.05,9.6,3.4,4.3
plot,plo,733.2,0.42,529.4,1176.5,NA,0.26,0.54,4,3,1.15,1,8.6,3.2,4.9
pluie,pl8i,592.0,0.00,477.4,1178.2,565.9,42.91,111.76,5,4,1.7,1.8,4.4,5.0,6.6
plume,plym,574.5,0.03,520.2,1112.1,598.1,6.97,33.99,5,4,1.45,1.25,4.9,3.6,6.8
plus,ply,578.8,0.00,490.3,1100.4,565.5,4088.93,5035.41,4,3,1.5,1,4.8,6.7,3.1
pneu,pn2,648.9,0.00,532.2,1133.1,628.3,5.64,4.93,4,3,1.85,1.7,5.5,3.9,6.6
poche,pOS,638.8,0.03,495.9,1106.5,644.1,36.36,101.96,5,3,1.2,1,5.0,5.1,6.4
poêle,pwal,663.1,0.03,582.4,1092.9,644.4,4.58,17.91,5,4,1.8,1.3,6.4,5.0,6.7
poids,pwa,594.6,0.00,509.7,1074.0,590.4,34.42,89.05,5,3,1.85,1,6.6,5.3,4.5
poigne,pwaN,715.9,0.06,573.9,1173.9,689.5,1.95,5,6,4,1.5,1.35,13.5,3.1,3.4
poil,pwal,555.8,0.03,495.6,1139.3,587.2,27.09,42.91,4,4,1.6,1.3,6.1,4.8,6.7
poing,pw5,628.8,0.13,535.2,1024.4,655.1,13.25,47.97,5,3,1.8,1.35,6.5,4.2,6.0
point,pw5,582.9,0.03,502.4,1080.6,570.8,226.61,349.8,5,3,1.5,1.35,5.7,5.2,5.5
pointe,pw5t,671.9,0.09,536.3,1193.9,607.6,19.82,76.89,6,4,1.25,1.35,7.5,4.0,5.5
poire,pwaR,662.2,0.25,503.7,1165.3,618.6,5.67,10.81,5,4,1.3,1.05,4.7,4.0,6.9
pois,pwa,688.8,0.06,516.0,1130.3,NA,8.09,13.72,4,3,1,1,6.9,3.4,4.9
poisse,pwas,767.3,0.25,535.1,1253.0,758.8,5.76,1.82,6,4,1.55,1.35,10.1,4.0,2.5
poivre,pwavR,634.5,0.00,515.2,1100.9,624.3,3.85,7.64,6,5,1.65,1.65,5.7,5.1,6.7
pôle,pol,646.7,0.09,542.7,1063.6,672.6,3.12,2.77,4,3,1.5,1,8.8,3.5,4.1
pomme,pOm,590.1,0.00,515.3,1155.2,618.5,19.89,47.5,5,3,1.4,1.1,4.2,5.1,6.9
pompe,p§p,663.6,0.03,537.9,1201.2,614.0,11.64,19.4,5,3,1.5,1.1,8.3,4.1,5.8
pondre,p§dR,722.4,0.30,528.1,1280.4,732.5,1.64,1.69,6,4,1.6,1.3,5.9,3.2,4.9
pont,p§,597.2,0.00,513.3,1141.8,722.4,50.45,74.59,4,2,1.25,1,6.3,4.2,6.4
pop,pOp,717.7,0.13,525.1,1094.1,704.2,5.46,1.89,3,3,1.6,1,12.6,4.4,3.3
porc,pOR,630.7,0.00,501.3,1148.3,668.9,30.18,11.15,4,3,1.8,1,5.7,3.9,6.7
porche,pORS,791.9,0.21,570.8,1184.8,752.3,2.95,15.34,6,4,1.75,1.65,10.1,3.1,5.6
port,pOR,653.6,0.00,508.8,1136.1,651.6,29.4,64.86,4,3,1.1,1,8.8,3.6,6.2
porte,pORt,592.6,0.17,501.9,1033.5,747.6,381.44,616.01,5,4,1,1,4.2,6.1,6.8
pose,poz,699.7,0.17,552.6,1135.0,610.8,72.75,64.12,4,3,1.15,1.05,7.8,4.7,2.8
poste,pOst,592.6,0.00,506.0,1092.3,583.1,74.16,75.27,5,4,1.25,1.35,7.1,4.6,5.1
pot,po,630.8,0.09,540.5,1101.5,606.5,25.72,32.3,3,2,1,1,4.5,4.5,6.3
pouce,pus,667.6,0.00,490.5,1144.8,603.0,12.39,30.4,5,3,1.65,1,4.4,4.8,6.7
poudre,pudR,648.8,0.03,505.8,1173.0,599.4,22.29,28.18,6,4,1.5,1.35,7.5,4.1,5.8
pouf,puf,672.0,0.30,502.3,1147.1,657.1,1.3,4.12,4,3,1.5,1,9.3,4.5,6.0
poule,pul,648.9,0.06,486.6,1167.4,611.0,23.5,16.69,5,3,1.1,1,4.0,3.7,6.9
poulpe,pulp,768.3,0.09,527.5,1246.2,782.5,1.48,1.22,6,4,1.7,1.55,9.4,2.8,5.2
pour,puR,646.8,0.06,499.1,1151.5,716.3,7106.24,6214.19,4,3,1.4,1,5.0,6.5,1.7
pourpre,puRpR,783.4,0.10,540.3,1180.8,683.0,2.08,9.12,7,5,1.85,1.85,10.2,3.0,5.1
pousse,pus,660.9,0.03,520.0,1191.4,649.2,36.9,44.66,6,3,1.3,1,5.7,4.9,3.7
poutre,putR,715.4,0.09,496.0,1255.9,719.0,1.38,5.34,6,4,1.65,1.3,7.7,3.4,5.9
pré,pRe,683.7,0.13,504.0,1100.0,652.7,5.03,19.8,3,3,1.65,1,8.1,3.8,5.9
prendre,pR@dR,652.2,0.00,552.0,1235.2,576.1,465.77,344.05,7,5,1.75,1.6,5.5,6.0,3.6
près,pRE,589.3,0.03,476.8,1129.4,677.6,213.66,442.37,4,3,1.7,1,5.9,5.8,2.8
presque,pREsk,603.4,0.03,476.0,1171.6,600.0,181.81,465.54,7,5,2.25,1.6,6.6,6.5,1.7
presse,pREs,619.5,0.13,476.3,1173.3,591.0,63.59,49.19,6,4,1.4,1,8.7,5.2,4.2
prêt,pRE,563.7,0.00,456.1,1123.1,580.8,196.22,64.4,4,3,1.65,1,7.0,5.4,2.2
prêtre,pREtR,739.3,0.06,550.2,1192.6,702.0,38.37,29.39,6,5,1.85,1,8.6,3.3,5.7
preuve,pR9v,667.0,0.06,498.6,1134.4,634.6,60.79,50.54,6,4,1.8,1.8,8.8,4.4,2.8
prime,pRim,712.6,0.03,472.6,1254.7,637.4,12.91,11.01,5,4,1.15,1,11.3,3.7,2.8
prince,pR5s,712.8,0.00,549.4,1199.9,585.1,44.83,65.61,6,4,1.8,1.7,5.4,3.5,6.0
pris,pRi,620.2,0.21,469.0,1162.7,630.7,380.83,341.49,4,3,1,1,5.7,5.7,2.1
prise,pRiz,688.7,0.00,507.6,1098.7,622.6,67.03,80,5,4,1,1,6.7,5.3,3.7
