item,Phon,LDTrt,LDTpe,NMGrt,PDMrt,FLPrt,freqfilms,freqbooks,Nlett,Nphon,OLD20,PLD20,AoA,Freqsubj,IMA
flot,flo,669.8,0.06,424.5,1264.2,720.3,4.66,29.59,4,3,1.45,1.05,8.9,3.0,3.4
flotte,flOt,676.5,0.13,474.0,1245.5,615.8,20,37.1,6,4,1.5,1.35,7.9,3.8,4.4
flou,flu,664.5,0.06,418.3,1176.8,748.1,5.61,9.93,4,3,1.55,1.3,8.3,4.0,4.3
fluide,fl8id,678.1,0.00,451.8,1248.3,605.7,3.07,5.54,6,5,1.95,2,11.3,3.9,3.5
flûte,flyt,613.4,0.03,427.7,1173.1,645.3,9.11,8.92,5,4,1.75,1.4,6.7,3.6,6.8
flux,fly,651.2,0.06,481.9,1179.3,661.3,4.07,6.42,4,3,1.75,1.15,12.4,3.8,2.8
foi,fwa,593.2,0.03,431.6,1081.7,608.8,54.06,76.49,3,3,1.1,1,8.9,3.9,2.7
foie,fwa,602.3,0.03,448.9,1181.0,599.5,22.27,15.47,4,3,1.2,1,8.4,3.7,5.1
foin,fw5,618.3,0.13,424.2,1232.5,657.3,6.06,16.01,4,3,1.55,1.4,6.7,3.5,6.1
foire,fwaR,646.6,0.03,436.3,1168.5,641.0,13.42,14.19,5,4,1.25,1.05,7.5,3.4,5.4
fois,fwa,600.7,0.00,430.6,1131.9,636.0,899.25,1140,4,3,1,1,5.8,4.8,2.2
folk,fOlk,709.1,0.46,484.2,1299.7,763.1,1.3,2.64,4,4,1.85,1.8,13.1,4.8,2.9
fond,f§,561.3,0.00,436.5,1157.2,572.4,112.45,381.56,4,2,1.4,1,6.6,3.9,3.4
fondre,f§dR,637.0,0.03,442.8,1211.2,659.6,8.05,17.7,6,4,1.6,1,7.2,4.6,4.2
fonte,f§t,735.4,0.21,431.8,1201.5,816.4,0.74,8.31,5,3,1.35,1.15,10.6,3.3,3.8
foot,fut,609.0,0.00,430.1,1116.2,646.0,24.18,5.54,4,3,1.8,1,6.1,3.8,6.7
force,fORs,607.7,0.03,455.3,1120.5,616.3,121.75,234.73,5,4,1.35,1.15,6.5,4.9,3.6
forge,fORZ,700.6,0.25,491.5,1097.1,681.8,3.29,8.38,5,4,1.3,1.45,9.6,3.9,3.8
forme,fORm,615.3,0.09,436.7,1121.7,649.5,89.2,149.8,5,4,1.1,1.2,6.0,3.9,3.5
fort,fOR,594.7,0.00,433.2,1209.1,585.2,211.22,265.61,4,3,1.1,1,4.9,5.5,4.0
fosse,fOs,649.5,0.06,452.0,1129.1,641.7,6.64,10.74,5,3,1.5,1,10.0,4.3,5.1
fou,fu,576.9,0.00,415.3,1116.3,625.3,230.79,111.08,3,2,1.05,1,6.2,4.2,4.5
foudre,fudR,664.2,0.06,410.0,1309.7,575.3,12.5,12.64,6,4,1.65,1.6,7.5,4.3,6.2
fouet,fwE,648.9,0.03,452.1,1141.2,606.4,7.92,16.69,5,3,1.6,1.1,7.5,3.4,6.4
fougue,fug,788.8,0.31,436.9,1262.6,766.3,1.17,5.07,6,3,1.75,1.4,11.7,3.4,2.4
fouille,fuj,716.7,0.17,452.7,1311.2,624.7,9.28,13.99,7,3,1.05,1,8.2,3.6,3.5
fouine,fwin,715.6,0.13,443.3,1286.1,775.7,3.22,2.16,6,4,1.65,1.5,8.5,3.2,5.0
foule,ful,638.7,0.03,459.6,1203.8,573.8,26.13,102.09,5,3,1.1,1,7.5,3.9,5.8
four,fuR,598.2,0.00,416.1,1231.0,653.3,13.95,25.07,4,3,1.35,1,5.3,4.8,6.6
fourbe,fuRb,793.0,0.25,473.9,1265.5,NA,2.44,1.29,6,4,1.45,1.15,12.3,4.0,2.1
fourche,fuRS,767.2,0.13,451.0,1198.6,653.4,1.32,5.61,7,4,1.55,1.25,7.4,3.5,6.0
frais,fRE,640.1,0.09,412.9,1110.6,591.0,53.9,86.22,5,3,1.3,1,7.2,3.9,3.6
fraise,fREz,628.9,0.03,423.8,1150.1,615.4,5.41,3.99,6,4,1.7,1.35,4.3,4.5,6.9
franc,fR@,707.5,0.13,451.9,1143.2,808.2,14.21,15.68,5,3,1.8,1,8.2,4.2,4.6
frange,fR@Z,785.0,0.25,475.3,1267.2,696.7,0.69,8.18,6,4,1.65,1.3,7.1,4.0,6.3
frappe,fRap,643.7,0.03,452.0,1189.0,600.8,52.24,25.14,6,4,1.55,1.3,6.7,4.5,4.2
fraude,fRod,739.3,0.17,481.4,1238.4,661.8,4.86,2.91,6,4,1.75,1.65,12.1,4.0,2.9
frein,fR5,663.9,0.00,434.4,1100.0,600.9,4.87,7.91,5,3,1.7,1,7.0,4.1,4.7
frêle,fREl,773.7,0.09,441.6,1194.5,640.5,1,9.8,5,4,1.75,1.3,11.6,3.6,2.6
frère,fRER,660.3,0.13,446.7,1182.5,584.5,311.45,142.36,5,4,1.75,1,4.4,4.4,6.1
fresque,fREsk,744.3,0.13,473.8,1275.2,682.3,1.37,3.24,7,5,2,1.8,10.9,4.0,5.2
